Comment,Cleaned_Comment,Sentiment_Label
"Nitish bhai, your research is unmatched. You are doing a very good job in exposing the mafia",nitish bhai your research is unmatched you are doing a very good job in exposing the mafia,Positive
Reply,reply,Neutral
Thank you so much for raising your voice Nitish Bhai for against these heinous crimes in India.,thank you so much for raising your voice nitish bhai for against these heinous crimes in india,Positive
Reply,reply,Neutral
"Abhaya is my neighbour, I am from Kolkata sodpur.She was always a very kind hearted person and as a doctor she was a very good person.. Finally I can say we have lost a very talented doctor and person.",abhaya is my neighbour i am from kolkata sodpurshe was always a very kind hearted person and as a doctor she was a very good person finally i can say we have lost a very talented doctor and person,Positive
Reply,reply,Neutral
"Maine iss YouTube channel ke bare mai phele bhi suna hai lekin , aaj mai first time Nitish ki video dkhri hu without skipping a  second .. he explain everything really good nd in simple term as well !! His editing is too good.. 

At last thankyou for covering this topic Nitish sir  we want justice for her asap !!","maine iss youtube channel ke bare mai phele bhi suna hai lekin  aaj mai first time nitish ki video dkhri hu without skipping a  second  he explain everything really good nd in simple term as well  his editing is too good 

at last thankyou for covering this topic nitish sir  we want justice for her asap",Positive
Reply,reply,Neutral
This is how you make an infotainment video. No bias just pure facts. Great Work Sir.,this is how you make an infotainment video no bias just pure facts great work sir,Positive
Reply,reply,Neutral
Druv rathi manipulating Even this case against BJP and protecting TMC. More power to u Nitish ji,druv rathi manipulating even this case against bjp and protecting tmc more power to u nitish ji,Negative
Reply,reply,Neutral
18 replies,replies,Neutral
,,Neutral
Thanks For Speaking The Real Story.. Dhruv Bhai Paata Naahi Iss Baat Ko Upar Upar De Chooke Chala Gaya.,thanks for speaking the real story dhruv bhai paata naahi iss baat ko upar upar de chooke chala gaya,Positive
Reply,reply,Neutral
"Ise kehte h analysis krke full detailed and truth video bnana . Naa ki ek chapri youtuber ki terha brain wash krna , ek insaan ko Target krna ,kuch logo ko kitna bhi galat hone pe defend krna , . Heads off to you nitish bhai . Aap jaise unbiased youtuber ki wajah se logo tak sahi knowlege pahuch paati h . Thank you . And keep it up",ise kehte h analysis krke full detailed and truth video bnana  naa ki ek chapri youtuber ki terha brain wash krna  ek insaan ko target krna kuch logo ko kitna bhi galat hone pe defend krna   heads off to you nitish bhai  aap jaise unbiased youtuber ki wajah se logo tak sahi knowlege pahuch paati h  thank you  and keep it up,Positive
Reply,reply,Neutral
26 replies,replies,Neutral
,,Neutral
"अपराधी को कड़ी से कड़ी सजा मिलनी चाहिए 

और nitish sir जी को इतना सही सही तरीके से जानकारी देने के लिए आपका दिल से बहुत बहुत धन्यवाद एवं आभार",nitish sir,Neutral
Reply,reply,Neutral
This is the most quality and to the point video on this topic I have seen. Well done Nitish Rajput and team behind it.,this is the most quality and to the point video on this topic i have seen well done nitish rajput and team behind it,Positive
Reply,reply,Neutral
"Nitish bhai is unmatched! After watching your videos, I was so inspired that I started my own channel. Thank you for being such a legend and setting the bar so high!",nitish bhai is unmatched after watching your videos i was so inspired that i started my own channel thank you for being such a legend and setting the bar so high,Positive
Reply,reply,Neutral
Nitish Rajput = straight forward content + pure content + zero politics + presentation next level ️,nitish rajput  straight forward content  pure content  zero politics  presentation next level,Positive
Reply,reply,Neutral
"बहुत बहुत गहराई से बनाया  गया, सच्ची खोजी पत्रकारिता , बारंबार धन्यवाद और आभार  ।",,Neutral
Reply,reply,Neutral
Shame on dhruv rathee didn't cover all these points,shame on dhruv rathee didnt cover all these points,Negative
Reply,reply,Neutral
3 replies,replies,Neutral
,,Neutral
