Comment,Cleaned_Comment
"Keep doing this good work, we need more people who treat news like news not propoganda and keep the fact in fronf of us. Thanks",keep doing this good work we need more people who treat news like news not propoganda and keep the fact in fronf of us thanks
Reply,reply
"What Dhruv Rathee talked about This case Vs What Nitish talk..
Respect for him to bravely told the truth..️","what dhruv rathee talked about this case vs what nitish talk
respect for him to bravely told the truth"
Reply,reply
53 replies,replies
,nan
नीतीश भाई आप को थैंक्स आप नै पूरी स्टोरी बिलकुल बिना किसी झूठ के बताएं थैंक यू मैं आप की मेहनत को सलाम करता हु आप आगे भी इस केस को पूरा बताना अगेन थैंक्स,
Reply,reply
No digression from the topic. Explained after proper research. Absolutely good,no digression from the topic explained after proper research absolutely good
Reply,reply
"Found someone neutral and without any agenda, a long way to go brother. More power to you",found someone neutral and without any agenda a long way to go brother more power to you
Reply,reply
The best thing is that he doesn't use advertisements in this video. Thank you and hats off to you for this video. You have the real courage to tell the truth,the best thing is that he doesnt use advertisements in this video thank you and hats off to you for this video you have the real courage to tell the truth
Reply,reply
2 replies,replies
,nan
"1)Editor deserves a raise
2)Researcher deserves a raise
3)Nitish Rajput needs to become the most subscribed youtuber

I am living in Kolkata and have been following the news daily,yet I do not have such intricate information about the case!!","editor deserves a raise
researcher deserves a raise
nitish rajput needs to become the most subscribed youtuber

i am living in kolkata and have been following the news dailyyet i do not have such intricate information about the case"
Reply,reply
3 replies,replies
,nan
What a coverage... Awesome...Entire News media of India couldn't clarify the case ...the way u hv done in this video...Hatsoff...,what a coverage awesomeentire news media of india couldnt clarify the case the way u hv done in this videohatsoff
Reply,reply
Nice video nitish bhai happy new year,nice video nitish bhai happy new year
Reply,reply
"Jo bade bade news channels nahi bata paye wo aapne bata diya , simple language mai. Hats of you bhai keep up the good work",jo bade bade news channels nahi bata paye wo aapne bata diya  simple language mai hats of you bhai keep up the good work
Reply,reply
1 reply,reply
,nan
Mamata should resign and justice for Dr Moumita!! ️️,mamata should resign and justice for dr moumita
Reply,reply
36 replies,replies
,nan
I'm from West Bengal. You are not like Jerman Shephard. you information is fully true and correct,im from west bengal you are not like jerman shephard you information is fully true and correct
Reply,reply
2 replies,replies
,nan
"Nitish bhai is undoubtedly the best youtuber i have ever seen these days... सच में बिना किसी पक्षपात और बिना किसी डर के बेबाकी से सच बताने का ये अंदाज काफी खास है भाई का 
Hats off to you bhai 🫡","nitish bhai is undoubtedly the best youtuber i have ever seen these days                       
hats off to you bhai"
Reply,reply
"Very detailed analysis bro. Nice video. Thanks for keeping us all informed.

May the God bless the victim's parents with patience, courage and determination to keep raising yheir voice at every platform for justice.","very detailed analysis bro nice video thanks for keeping us all informed

may the god bless the victims parents with patience courage and determination to keep raising yheir voice at every platform for justice"
Reply,reply
"Proper fair report, without any political views, hats off.. We want Justice",proper fair report without any political views hats off we want justice
Reply,reply
"Dhruv: trust me bro 
Nitish: source link in the discription","dhruv trust me bro 
nitish source link in the discription"
Reply,reply
12 replies,replies
,nan
Shame on Kolkata police. Shame on Kolkata government.,shame on kolkata police shame on kolkata government
Reply,reply
1 reply,reply
,nan
Thanks for the information please provide more,thanks for the information please provide more
Reply,reply
"I can literally see the level of research you have done before posting this video. It shows that you don’t have any prejudice regardless of the political parties. 
You have that धैर्य in your explanation and that keeps everyone engaged.","i can literally see the level of research you have done before posting this video it shows that you dont have any prejudice regardless of the political parties 
you have that  in your explanation and that keeps everyone engaged"
Reply,reply
"I hope this channel never ends and keeps spreading knowledge 
we all are proud to have you","i hope this channel never ends and keeps spreading knowledge 
we all are proud to have you"
Reply,reply
19 replies,replies
,nan
"This guy has much better facts and presents them more nicely and in a precise way than the new channels or newspapers. Wow, fantastic work.",this guy has much better facts and presents them more nicely and in a precise way than the new channels or newspapers wow fantastic work
Reply,reply
"Finally Aaj Clarification Mila 
Thank you bhaiiii","finally aaj clarification mila 
thank you bhaiiii"
Reply,reply
"Clean and honest reporting without any masala. I hope the doctor gets justice, and may God give strength to her parents. I cannot imagine what they are going through after losing their only child.",clean and honest reporting without any masala i hope the doctor gets justice and may god give strength to her parents i cannot imagine what they are going through after losing their only child
Reply,reply
"I am a resident of Kolkata,, 3 km away from r g kar medical College,, details you have share in this case even I don't know.. fabulous bro..hats off..",i am a resident of kolkata  km away from r g kar medical college details you have share in this case even i dont know fabulous brohats off
Reply,reply
9 replies,replies
,nan
"Thank you... For raising your voice. You have mentioned every minute details. 
 Justice for R.G.KAR.","thank you for raising your voice you have mentioned every minute details 
 justice for rgkar"
Reply,reply
Detailed analysis good work,detailed analysis good work
Reply,reply
"""Rape is not just an attack on the body, it is an attack on the soul.""
— Unknown","rape is not just an attack on the body it is an attack on the soul
 unknown"
Reply,reply
1 reply,reply
,nan
Who wants mamta banerjee to be removed from the post of cm,who wants mamta banerjee to be removed from the post of cm
Reply,reply
46 replies,replies
,nan
"I've never commented or subscribed to a YouTube channel until now, but I feel accountable for doing so for Nitish. The outstanding presentation and well-researched information, rich in factual insights, stand out. Keep up the wonderful effort, Nitish!
I genuinely hope that justice gets served and this video reaches billions of people.","ive never commented or subscribed to a youtube channel until now but i feel accountable for doing so for nitish the outstanding presentation and wellresearched information rich in factual insights stand out keep up the wonderful effort nitish
i genuinely hope that justice gets served and this video reaches billions of people"
Reply,reply
Kitni mehnat krte ho bhai aap ek vdo k liye appreciated,kitni mehnat krte ho bhai aap ek vdo k liye appreciated
Reply,reply
"India main ek journalist who Nitesh Rajput 
No Politics - pure content and perfect","india main ek journalist who nitesh rajput 
no politics  pure content and perfect"
Reply,reply
3 replies,replies
,nan
"बहुत सटीक तरीके से वीडियो बनाया आपने सर, 
बंगाल को थोड़ा बहुत मैं जानता हूं वह इंसाफ मिलना नामुमकिन है।",
Reply,reply
"Dear Mr. Nitish Rajput . I'm Kalyan Tejavath from Hyderabad, Telangana. Being a  Software engineer I really admire your videos which are having clear cut content and message. Even I have shown to my colleagues who are from North came to hyderabad for work.. Long live my brother .",dear mr nitish rajput  im kalyan tejavath from hyderabad telangana being a  software engineer i really admire your videos which are having clear cut content and message even i have shown to my colleagues who are from north came to hyderabad for work long live my brother
Reply,reply
4 replies,replies
,nan
"Commendable research by you, thanks for spreading awareness,, no media has informed in such details in spite of running this story for entire month",commendable research by you thanks for spreading awareness no media has informed in such details in spite of running this story for entire month
Reply,reply
Thanks for making India understand about this case. Need strong LAW AGAINST SUCH CRIME.,thanks for making india understand about this case need strong law against such crime
Reply,reply
2 replies,replies
,nan
"Nitish bhai, your research is unmatched. You are doing a very good job in exposing the mafia",nitish bhai your research is unmatched you are doing a very good job in exposing the mafia
Reply,reply
Thank you so much for raising your voice Nitish Bhai for against these heinous crimes in India.,thank you so much for raising your voice nitish bhai for against these heinous crimes in india
Reply,reply
"Abhaya is my neighbour, I am from Kolkata sodpur.She was always a very kind hearted person and as a doctor she was a very good person.. Finally I can say we have lost a very talented doctor and person.",abhaya is my neighbour i am from kolkata sodpurshe was always a very kind hearted person and as a doctor she was a very good person finally i can say we have lost a very talented doctor and person
Reply,reply
"Maine iss YouTube channel ke bare mai phele bhi suna hai lekin , aaj mai first time Nitish ki video dkhri hu without skipping a  second .. he explain everything really good nd in simple term as well !! His editing is too good.. 

At last thankyou for covering this topic Nitish sir  we want justice for her asap !!","maine iss youtube channel ke bare mai phele bhi suna hai lekin  aaj mai first time nitish ki video dkhri hu without skipping a  second  he explain everything really good nd in simple term as well  his editing is too good 

at last thankyou for covering this topic nitish sir  we want justice for her asap"
Reply,reply
This is how you make an infotainment video. No bias just pure facts. Great Work Sir.,this is how you make an infotainment video no bias just pure facts great work sir
Reply,reply
Druv rathi manipulating Even this case against BJP and protecting TMC. More power to u Nitish ji,druv rathi manipulating even this case against bjp and protecting tmc more power to u nitish ji
Reply,reply
18 replies,replies
,nan
Thanks For Speaking The Real Story.. Dhruv Bhai Paata Naahi Iss Baat Ko Upar Upar De Chooke Chala Gaya.,thanks for speaking the real story dhruv bhai paata naahi iss baat ko upar upar de chooke chala gaya
Reply,reply
"Ise kehte h analysis krke full detailed and truth video bnana . Naa ki ek chapri youtuber ki terha brain wash krna , ek insaan ko Target krna ,kuch logo ko kitna bhi galat hone pe defend krna , . Heads off to you nitish bhai . Aap jaise unbiased youtuber ki wajah se logo tak sahi knowlege pahuch paati h . Thank you . And keep it up",ise kehte h analysis krke full detailed and truth video bnana  naa ki ek chapri youtuber ki terha brain wash krna  ek insaan ko target krna kuch logo ko kitna bhi galat hone pe defend krna   heads off to you nitish bhai  aap jaise unbiased youtuber ki wajah se logo tak sahi knowlege pahuch paati h  thank you  and keep it up
Reply,reply
26 replies,replies
,nan
"अपराधी को कड़ी से कड़ी सजा मिलनी चाहिए 

और nitish sir जी को इतना सही सही तरीके से जानकारी देने के लिए आपका दिल से बहुत बहुत धन्यवाद एवं आभार",nitish sir
Reply,reply
This is the most quality and to the point video on this topic I have seen. Well done Nitish Rajput and team behind it.,this is the most quality and to the point video on this topic i have seen well done nitish rajput and team behind it
Reply,reply
"Nitish bhai is unmatched! After watching your videos, I was so inspired that I started my own channel. Thank you for being such a legend and setting the bar so high!",nitish bhai is unmatched after watching your videos i was so inspired that i started my own channel thank you for being such a legend and setting the bar so high
Reply,reply
Nitish Rajput = straight forward content + pure content + zero politics + presentation next level ️,nitish rajput  straight forward content  pure content  zero politics  presentation next level
Reply,reply
"बहुत बहुत गहराई से बनाया  गया, सच्ची खोजी पत्रकारिता , बारंबार धन्यवाद और आभार  ।",
Reply,reply
Shame on dhruv rathee didn't cover all these points,shame on dhruv rathee didnt cover all these points
Reply,reply
